MCC,Название,Группа,Обновлено
3067,Vanguard Airlines (VANGUARD),"Авиалинии, авиакомпании",18.04.17
3068,Air Astana (AIRSTANA),"Авиалинии, авиакомпании",06.04.17
3069,Sun Country Airlines (SUNCNTRY),"Авиалинии, авиакомпании",06.04.17
3071,Air British Columbia (AIR B R C),"Авиалинии, авиакомпании",18.04.17
3072,Cebu Pacific (CEBU PAC),"Авиалинии, авиакомпании",06.04.17
3073,Air Cal,"Авиалинии, авиакомпании",14.10.17
3075,Singapore Airlines (SINGAPOR),"Авиалинии, авиакомпании",17.04.17
3076,Aeromexico (AEROMEXI),"Авиалинии, авиакомпании",17.04.17
3077,Thai Airways (THAIAIRW),"Авиалинии, авиакомпании",18.04.17
3078,China Airlines (CHINAAIR),"Авиалинии, авиакомпании",18.04.17
3079,Jetstar Airways (JETSTAR),"Авиалинии, авиакомпании",18.04.17
3081,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",17.04.17
3082,Korean Airlines (KOREAN),"Авиалинии, авиакомпании",18.04.17
3083,Air Afrique (AIR AFRIQ),"Авиалинии, авиакомпании",17.04.17
3084,Eva Airways (EVA AIR),"Авиалинии, авиакомпании",17.04.17
3085,Midwest Express Airlines (MIDWEST),"Авиалинии, авиакомпании",18.04.17
3086,Carnival Airlines,"Авиалинии, авиакомпании",14.10.17
3087,Metro Airlines (METROAI),"Авиалинии, авиакомпании",18.04.17
3088,Croatia Air (CROATIA),"Авиалинии, авиакомпании",18.04.17
3089,Transaero (TRANSAERO),"Авиалинии, авиакомпании",16.04.17
3090,Uni Airways (UNIAIR),"Авиалинии, авиакомпании",17.04.17
3092,Midway Airlines,"Авиалинии, авиакомпании",14.10.17
3093,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",16.04.17
3094,Zambia Airways (ZAMBIA A),"Авиалинии, авиакомпании",17.04.17
3095,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",18.04.17
3096,Air Zimbabwe (AIRZIMBA),"Авиалинии, авиакомпании",18.04.17
3097,Spanair (SPANAIR),"Авиалинии, авиакомпании",18.04.17
3098,Asiana Airlines (ASIANA),"Авиалинии, авиакомпании",18.04.17
3099,Cathay Pacific (CATHAYPA),"Авиалинии, авиакомпании",17.04.17
3100,Malaysian Airline System (MALAY AI),"Авиалинии, авиакомпании",18.04.17
3101,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",18.04.17
3102,Iberia (IBERIA),"Авиалинии, авиакомпании",17.04.17
3103,Garuda (Indonesia) (GARUDA),"Авиалинии, авиакомпании",18.04.17
3104,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",17.04.17
3105,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",18.04.17
3106,Braathens S.A.F.E. (Norway) (BRAATHEN),"Авиалинии, авиакомпании",18.04.17
3107,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",17.04.17
3109,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",17.04.17
3110,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",17.04.17
3111,British Midland (BRITISH M),"Авиалинии, авиакомпании",18.04.17
3112,Windward Island (WINDWARD),"Авиалинии, авиакомпании",18.04.17
3113,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",18.04.17
3114,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",18.04.17
3115,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",18.04.17
3116,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",17.04.17
3117,Venezolana International de Aviacion (VIASA),"Авиалинии, авиакомпании",17.04.17
